"id";"name";"mean_nw";"ww_index"
2003;"Zwischenbrücken";0,523886009758333;0,316812160693927
2101;"Donaufeld";0,46124873402086;0,330017043144439
2102;"Floridsdorf (Zentrum)";0,547596211468555;0,331191503602577
2103;"Großjedlersdorf";0,4977756033966;0,324831695991136
2104;"Jedlesee";0,48746998465102;0,332632447669374
2105;"Leopoldau";0,496768263109391;0,329269728796254
2106;"Großfeldsiedlung";0,505469887802929;0,29655511702671
2107;"Stammersdorf";0,407743702487428;0,346216087657384
2108;"Strebersdorf";0,465590188716679;0,340893763089298
2109;"Nordrandsiedlung";0,397803307313488;0,322835201710629
2201;"Mühlwasser und Lobau";0,401055932101229;0,348125109462972
2202;"Aspern";0,427261343302734;0,370465695548797
2203;"Breitenlee";0,408775779013939;0,313909367616033
2204;"Donau-City";0,465086170571705;0,332083012527872
2205;"Eßling";0,426498243839188;0,357387344810719
2206;"Hirschstetten";0,471366443720168;0,33445632779029
2207;"Kagran";0,523090211771857;0,321960006452523
2208;"Kaisermühlen";0,463663228108693;0,308483063327882
2210;"Neukagran";0,479722795465561;0,332269345506519
2211;"Obere Alte Donau";0,483801758251072;0,327605122714071
2212;"Seestadt Aspern";0,456505950561696;0,319279600207189
2213;"Stadlau";0,474210561900473;0,338616408917184
2215;"Untere Alte Donau";0,444910792197585;0,337057046195287
2301;"Atzgersdorf";0,464204180387228;0,345252838981534
2302;"Erlaa";0,434355505909507;0,332849691799089
2303;"Inzersdorf";0,452799152259097;0,323442927933444
2304;"Liesing (Zentrum)";0,479291311871789;0,313443970486592
2305;"Mauer";0,386982997941202;0,318274709423932
2306;"Rodaun und Kalksburg";0,417044401733662;0,351109584785891
2307;"Siebenhirten";0,466933745829487;0,311455590369896
