WK;BZ;bezID;SPR;WBER;ABG.;UNG.;OEVP;SPOE;FPOE;GRUE;NEOS;DANN;KPOE
Wien Nord;Floridsdorf;92101;131;710;174;2;15;63;52;19;13;2;8
Wien Nord;Floridsdorf;92101;132;751;408;1;72;142;76;39;47;15;16
Wien Nord;Floridsdorf;92101;133;1055;385;9;33;114;86;64;48;13;18
Wien Nord;Floridsdorf;92101;134;989;483;8;64;139;121;65;60;11;15
Wien Nord;Donaustadt;92201;1;781;449;7;58;146;60;68;81;7;22
Wien Nord;Donaustadt;92201;2;859;434;4;53;145;72;66;63;10;21
Wien Nord;Donaustadt;92201;3;885;504;5;51;144;84;98;89;12;21
Wien Nord;Donaustadt;92201;4;764;395;8;55;105;70;55;80;8;14
Wien Nord;Donaustadt;92201;5;545;174;2;13;68;63;11;10;1;6
Wien Nord;Donaustadt;92201;6;639;422;3;38;130;75;79;72;8;17
Wien Nord;Donaustadt;92201;7;871;354;10;24;136;108;28;24;5;19
Wien Nord;Donaustadt;92201;8;681;297;0;30;113;82;26;36;4;6
Wien Nord;Donaustadt;92201;9;787;369;5;59;113;85;56;32;8;11
Wien Nord;Donaustadt;92201;10;813;448;5;86;108;75;81;57;14;22
Wien Nord;Donaustadt;92201;11;613;309;6;47;109;78;22;30;3;14
Wien Nord;Donaustadt;92201;12;892;544;6;89;179;102;64;62;19;23
Wien Nord;Donaustadt;92201;13;1022;613;15;91;189;116;79;81;22;20
Wien Nord;Donaustadt;92201;14;852;438;3;85;111;77;69;72;9;12
Wien Nord;Donaustadt;92201;15;918;568;5;85;168;119;76;91;8;16
Wien Nord;Donaustadt;92201;16;881;537;6;67;143;113;108;76;10;14
Wien Nord;Donaustadt;92201;17;701;321;4;46;113;85;20;40;7;6
Wien Nord;Donaustadt;92201;18;588;175;3;18;65;62;7;8;2;10
Wien Nord;Donaustadt;92201;19;715;422;4;68;147;115;26;40;11;11
Wien Nord;Donaustadt;92201;20;809;455;4;50;162;52;103;61;8;15
Wien Nord;Donaustadt;92201;21;935;282;5;25;108;97;14;12;5;16
Wien Nord;Donaustadt;92201;22;782;240;2;25;95;72;17;16;3;10
Wien Nord;Donaustadt;92201;23;737;257;8;34;86;77;13;24;5;10
Wien Nord;Donaustadt;92201;24;696;256;5;32;75;85;27;18;3;11
Wien Nord;Donaustadt;92201;25;841;328;3;33;112;105;30;34;4;7
Wien Nord;Donaustadt;92201;26;710;282;1;40;98;65;27;32;7;12
Wien Nord;Donaustadt;92201;27;658;249;4;34;88;90;9;15;2;7
Wien Nord;Donaustadt;92201;28;520;235;3;19;100;65;12;16;10;10
Wien Nord;Donaustadt;92201;29;828;321;8;49;98;92;23;17;8;26
Wien Nord;Donaustadt;92201;30;777;314;6;38;94;91;36;30;5;14
Wien Nord;Donaustadt;92201;31;973;494;6;78;155;141;44;46;15;9
Wien Nord;Donaustadt;92201;32;968;442;2;39;157;68;80;67;11;18
Wien Nord;Donaustadt;92201;33;1003;433;3;50;126;52;96;94;2;10
Wien Nord;Donaustadt;92201;34;997;476;2;51;158;75;77;81;9;23
Wien Nord;Donaustadt;92201;35;800;345;0;39;123;48;78;40;2;15
Wien Nord;Donaustadt;92201;36;843;396;7;42;120;95;42;56;8;26
Wien Nord;Donaustadt;92201;37;950;434;4;52;119;75;78;82;7;17
Wien Nord;Donaustadt;92201;38;936;410;1;44;117;77;77;63;13;18
Wien Nord;Donaustadt;92201;39;848;427;0;82;129;94;50;46;4;22
Wien Nord;Donaustadt;92201;40;924;513;8;42;177;109;100;50;10;17
Wien Nord;Donaustadt;92201;41;980;375;7;38;119;131;38;23;7;12
Wien Nord;Donaustadt;92201;42;925;509;4;77;165;106;66;69;4;18
Wien Nord;Donaustadt;92201;43;714;275;2;35;90;76;26;27;5;14
Wien Nord;Donaustadt;92201;44;994;372;8;40;109;97;45;42;16;15
Wien Nord;Donaustadt;92201;45;803;470;7;54;127;172;43;34;9;24
Wien Nord;Donaustadt;92201;46;882;385;12;32;120;125;24;45;12;15
Wien Nord;Donaustadt;92201;47;774;373;8;30;126;121;37;21;15;15
Wien Nord;Donaustadt;92201;48;756;344;5;42;113;77;46;38;6;17
Wien Nord;Donaustadt;92201;49;638;354;3;93;86;61;50;45;5;11
Wien Nord;Donaustadt;92201;50;952;408;12;57;128;109;27;60;6;9
Wien Nord;Donaustadt;92201;51;662;263;3;26;116;77;12;12;4;13
Wien Nord;Donaustadt;92201;52;780;444;8;58;116;128;60;45;9;20
Wien Nord;Donaustadt;92201;53;590;232;6;32;82;87;7;10;4;4
Wien Nord;Donaustadt;92201;54;1031;314;5;33;133;113;4;13;3;10
Wien Nord;Donaustadt;92201;55;960;289;3;31;107;119;6;9;7;7
Wien Nord;Donaustadt;92201;56;924;463;11;59;149;155;27;36;11;15
Wien Nord;Donaustadt;92201;57;717;333;3;29;94;112;29;47;4;15
Wien Nord;Donaustadt;92201;58;869;443;13;65;133;140;34;37;7;14
Wien Nord;Donaustadt;92201;59;1031;422;6;40;146;158;27;21;9;15
Wien Nord;Donaustadt;92201;60;831;311;4;40;99;105;25;17;12;9
Wien Nord;Donaustadt;92201;61;1048;430;3;48;143;130;42;46;2;16
Wien Nord;Donaustadt;92201;62;592;227;4;40;63;79;8;16;5;12
Wien Nord;Donaustadt;92201;63;708;282;6;41;97;81;11;25;7;14
Wien Nord;Donaustadt;92201;64;985;315;6;33;132;102;9;12;4;17
Wien Nord;Donaustadt;92201;65;592;304;10;36;91;96;27;23;9;12
Wien Nord;Donaustadt;92201;66;998;413;9;59;133;116;40;24;19;13
Wien Nord;Donaustadt;92201;67;779;190;3;20;68;66;5;11;8;9
Wien Nord;Donaustadt;92201;68;844;190;3;19;77;61;8;11;6;5
Wien Nord;Donaustadt;92201;69;983;282;1;35;117;92;10;13;5;9
Wien Nord;Donaustadt;92201;70;821;345;5;34;118;84;46;27;5;26
Wien Nord;Donaustadt;92201;71;935;477;5;73;132;111;79;43;10;24
Wien Nord;Donaustadt;92201;72;1044;532;4;48;195;99;85;62;8;31
Wien Nord;Donaustadt;92201;73;631;193;4;19;85;56;10;11;3;5
Wien Nord;Donaustadt;92201;74;874;343;5;29;132;78;47;35;4;13
Wien Nord;Donaustadt;92201;75;915;406;5;53;127;95;50;45;11;20
Wien Nord;Donaustadt;92201;76;1006;529;5;70;152;132;54;85;10;21
Wien Nord;Donaustadt;92201;77;757;358;9;32;118;116;23;27;14;19
Wien Nord;Donaustadt;92201;78;277;140;1;25;77;27;2;7;1;0
Wien Nord;Donaustadt;92201;79;797;462;4;53;138;87;80;70;8;22
Wien Nord;Donaustadt;92201;80;537;331;3;60;80;71;52;47;10;8
Wien Nord;Donaustadt;92201;81;1081;579;3;27;214;131;98;76;11;19
Wien Nord;Donaustadt;92201;82;840;468;2;72;152;106;57;48;19;12
Wien Nord;Donaustadt;92201;83;1004;630;5;89;213;141;80;62;15;25
Wien Nord;Donaustadt;92201;84;919;557;4;74;165;132;83;75;12;12
Wien Nord;Donaustadt;92201;85;878;350;8;33;123;105;25;34;4;18
Wien Nord;Donaustadt;92201;86;738;262;4;31;108;77;12;16;2;12
Wien Nord;Donaustadt;92201;87;698;429;5;63;133;95;64;42;13;14
Wien Nord;Donaustadt;92201;88;764;325;9;31;124;109;18;21;8;5
Wien Nord;Donaustadt;92201;89;840;414;2;36;123;113;57;62;13;8
Wien Nord;Donaustadt;92201;90;1144;550;16;44;196;135;69;45;12;33
Wien Nord;Donaustadt;92201;91;899;409;12;29;113;153;31;40;11;20
Wien Nord;Donaustadt;92201;92;1051;543;8;57;155;152;79;73;11;8
Wien Nord;Donaustadt;92201;93;1025;502;9;62;151;134;64;65;8;9
Wien Nord;Donaustadt;92201;94;1117;632;6;89;209;162;59;82;13;12
Wien Nord;Donaustadt;92201;95;690;317;6;30;102;76;53;27;6;17
Wien Nord;Donaustadt;92201;96;902;459;4;46;183;103;36;60;12;15
Wien Nord;Donaustadt;92201;97;1068;491;8;66;171;126;46;33;8;33
Wien Nord;Donaustadt;92201;98;960;511;7;81;146;119;70;67;7;14
Wien Nord;Donaustadt;92201;99;900;543;11;64;237;128;26;58;15;4
Wien Nord;Donaustadt;92201;100;1010;559;7;97;143;111;86;80;16;19
Wien Nord;Donaustadt;92201;101;941;499;7;72;114;139;62;78;14;13
Wien Nord;Donaustadt;92201;102;870;437;6;68;107;97;72;65;10;12
Wien Nord;Donaustadt;92201;103;633;270;7;32;78;70;30;33;6;14
Wien Nord;Donaustadt;92201;104;979;530;7;69;156;108;72;91;11;16
Wien Nord;Donaustadt;92201;105;1011;577;8;85;170;109;98;67;14;26
Wien Nord;Donaustadt;92201;106;615;334;11;40;92;92;27;49;11;12
Wien Nord;Donaustadt;92201;107;830;514;7;94;147;120;68;53;15;10
Wien Nord;Donaustadt;92201;108;737;461;3;71;138;96;56;69;13;15
Wien Nord;Donaustadt;92201;109;685;420;6;67;90;94;77;68;8;10
Wien Nord;Donaustadt;92201;110;943;548;7;86;159;139;57;68;11;21
Wien Nord;Donaustadt;92201;111;1132;586;5;69;216;131;55;71;12;27
Wien Nord;Donaustadt;92201;112;1133;487;12;42;140;150;53;47;17;26
Wien Nord;Donaustadt;92201;113;958;426;5;75;133;107;46;40;9;11
Wien Nord;Donaustadt;92201;114;707;351;4;41;105;110;24;54;2;11
Wien Nord;Donaustadt;92201;115;650;264;2;24;95;26;56;40;1;20
Wien Nord;Donaustadt;92201;116;1051;650;7;86;184;173;76;94;7;23
Wien Nord;Donaustadt;92201;117;855;449;11;83;118;136;32;41;8;20
Wien Nord;Donaustadt;92201;118;813;383;8;25;105;163;28;31;9;14
Wien Nord;Donaustadt;92201;119;958;515;5;69;164;144;50;56;6;21
Wien Nord;Donaustadt;92201;120;939;490;7;70;158;133;39;54;8;21
Wien Nord;Donaustadt;92201;121;947;531;5;95;164;138;54;62;4;9
Wien Nord;Donaustadt;92201;122;579;309;2;46;100;97;21;28;5;10
Wien Nord;Donaustadt;92201;123;729;424;6;57;136;107;51;48;9;10
Wien Nord;Donaustadt;92201;124;813;457;4;62;164;111;53;39;8;16
Wien Nord;Donaustadt;92201;125;777;478;12;98;145;99;46;57;8;13
Wien Nord;Donaustadt;92201;126;657;374;7;58;130;84;31;37;9;18
Wien Nord;Donaustadt;92201;127;840;400;2;58;123;128;18;38;10;23
Wien Nord;Donaustadt;92201;128;831;330;13;29;88;116;40;30;7;7
Wien Nord;Donaustadt;92201;129;866;510;1;79;154;146;46;52;18;14
Wien Nord;Donaustadt;92201;130;1109;569;9;93;146;157;47;82;15;20
Wien Nord;Donaustadt;92201;131;1028;527;8;65;156;126;48;90;12;22
Wien Nord;Donaustadt;92201;132;675;375;8;74;107;96;35;38;2;15
Wien Nord;Donaustadt;92201;133;553;291;7;44;107;76;16;28;5;8
Wien Nord;Donaustadt;92201;134;781;293;6;28;80;142;11;15;3;8
Wien Nord;Donaustadt;92201;135;794;262;3;44;82;103;7;4;5;14
Wien Nord;Donaustadt;92201;136;926;376;3;56;126;137;17;14;5;18
Wien Nord;Donaustadt;92201;137;773;217;4;28;78;82;5;11;4;5
Wien Nord;Donaustadt;92201;138;721;347;8;52;105;124;16;21;8;13
Wien Nord;Donaustadt;92201;139;1066;561;10;70;160;167;71;48;12;23
Wien Nord;Donaustadt;92201;140;729;397;5;46;145;96;40;54;6;5
Wien Nord;Donaustadt;92201;141;614;162;2;19;45;74;2;9;5;6
Wien Nord;Donaustadt;92201;142;518;144;2;23;59;44;6;4;1;5
Wien Nord;Donaustadt;92201;143;582;188;3;16;70;79;7;6;0;7
Wien Nord;Donaustadt;92201;144;1143;543;8;57;148;138;79;75;12;26
Wien Nord;Donaustadt;92201;145;787;410;3;95;78;100;44;71;5;14
Wien Nord;Donaustadt;92201;146;855;471;5;78;180;93;33;62;6;14
Wien Nord;Donaustadt;92201;147;715;374;6;47;102;88;59;48;7;17
Wien Nord;Donaustadt;92201;148;735;379;7;48;114;79;54;48;9;20
Wien Nord;Donaustadt;92201;149;1131;458;7;74;145;98;52;52;11;19
Wien Nord;Donaustadt;92201;150;713;359;7;26;111;74;70;52;5;14
Wien Nord;Donaustadt;92201;151;782;338;6;31;111;65;65;33;10;17
Wien Nord;Donaustadt;92201;152;780;395;7;26;137;97;72;33;8;15
Wien Nord;Donaustadt;92201;153;760;412;6;14;126;46;124;55;10;31
Wien Nord;Donaustadt;92201;154;170;37;3;5;21;4;3;0;1;0
Wien Nord;Donaustadt;92201;155;764;316;0;16;98;44;84;47;6;21
Wien Nord;Donaustadt;92201;156;560;312;1;60;60;50;51;79;5;6
Wien Nord;Donaustadt;92201;157;793;307;1;48;105;61;35;32;8;17
Wien Nord;Donaustadt;92201;158;762;275;5;22;97;51;48;37;3;12
Wien Nord;Donaustadt;92201;159;883;326;2;35;142;66;37;25;10;9
Wien Nord;Donaustadt;92201;160;666;403;6;93;91;72;47;78;8;8
Wien Nord;Donaustadt;92201;161;742;265;5;22;88;70;23;30;8;19
Wien Nord;Donaustadt;92201;162;672;256;11;25;81;93;10;19;6;11
Wien Nord;Donaustadt;92201;163;550;185;1;20;59;32;31;23;3;16
Wien Nord;Donaustadt;92201;164;677;313;4;44;101;76;26;42;8;12
Wien Nord;Donaustadt;92201;165;675;281;0;26;101;49;43;43;1;18
Wien Nord;Donaustadt;92201;166;0;0;0;0;0;0;0;0;0;0
Wien Nord;Donaustadt;92201;167;0;0;0;0;0;0;0;0;0;0
Wien Nord;Donaustadt;92201;168;0;0;0;0;0;0;0;0;0;0
Wien Süd-West;Liesing;92301;1;854;390;8;44;128;88;52;51;9;10
Wien Süd-West;Liesing;92301;2;1067;495;4;72;140;120;76;49;14;20
Wien Süd-West;Liesing;92301;3;896;518;3;91;136;102;70;84;14;18
Wien Süd-West;Liesing;92301;4;582;358;2;57;123;95;21;44;9;7
Wien Süd-West;Liesing;92301;5;496;304;1;61;101;59;28;41;4;9
Wien Süd-West;Liesing;92301;6;499;323;3;45;107;70;37;48;7;6
Wien Süd-West;Liesing;92301;7;551;350;2;74;113;68;38;37;6;12
Wien Süd-West;Liesing;92301;8;516;341;8;72;106;63;40;35;7;10
Wien Süd-West;Liesing;92301;9;631;376;2;49;136;74;40;59;5;11
Wien Süd-West;Liesing;92301;10;632;376;6;50;100;89;62;45;8;16
Wien Süd-West;Liesing;92301;11;559;342;1;50;103;78;36;56;9;9
Wien Süd-West;Liesing;92301;12;697;423;6;75;125;83;59;56;7;12
Wien Süd-West;Liesing;92301;13;809;343;2;64;87;50;69;56;3;12
Wien Süd-West;Liesing;92301;14;911;401;2;27;140;79;62;65;8;18
Wien Süd-West;Liesing;92301;15;629;342;7;44;104;77;49;45;4;12
Wien Süd-West;Liesing;92301;16;669;304;2;36;99;68;40;43;4;12
Wien Süd-West;Liesing;92301;17;677;382;2;54;118;80;62;48;5;13
Wien Süd-West;Liesing;92301;18;741;441;6;95;113;57;78;74;6;12
Wien Süd-West;Liesing;92301;19;669;376;7;74;98;63;67;51;11;5
Wien Süd-West;Liesing;92301;20;527;301;5;45;77;59;48;44;13;10
Wien Süd-West;Liesing;92301;21;488;293;2;56;74;73;27;49;7;5
Wien Süd-West;Liesing;92301;22;604;346;2;80;73;68;43;60;7;13
Wien Süd-West;Liesing;92301;23;690;346;8;49;107;94;41;29;8;10
Wien Süd-West;Liesing;92301;24;594;344;2;76;89;53;58;49;6;11
Wien Süd-West;Liesing;92301;25;652;369;5;64;78;75;74;44;18;11
Wien Süd-West;Liesing;92301;26;834;559;5;167;80;71;70;141;20;5
Wien Süd-West;Liesing;92301;27;652;363;6;75;73;71;54;71;9;4
Wien Süd-West;Liesing;92301;28;542;304;1;74;70;64;36;43;6;10
Wien Süd-West;Liesing;92301;29;759;410;4;83;82;63;71;81;11;15
Wien Süd-West;Liesing;92301;30;707;441;6;118;81;49;66;101;5;15
Wien Süd-West;Liesing;92301;31;650;460;2;131;93;59;53;105;12;5
Wien Süd-West;Liesing;92301;32;588;371;2;87;73;66;60;62;11;10
Wien Süd-West;Liesing;92301;33;728;428;1;110;84;56;66;76;21;14
Wien Süd-West;Liesing;92301;34;519;319;0;78;78;39;56;61;5;2
Wien Süd-West;Liesing;92301;35;781;515;3;141;100;62;84;103;11;11
Wien Süd-West;Liesing;92301;36;553;357;6;76;69;81;46;55;9;15
Wien Süd-West;Liesing;92301;37;358;152;0;23;52;55;6;10;3;3
Wien Süd-West;Liesing;92301;38;862;559;6;126;138;68;93;109;11;8
Wien Süd-West;Liesing;92301;39;604;335;0;94;85;60;47;35;6;8
Wien Süd-West;Liesing;92301;40;889;576;3;104;161;122;77;92;10;7
Wien Süd-West;Liesing;92301;41;715;383;3;58;145;85;41;39;6;6
Wien Süd-West;Liesing;92301;42;519;230;2;30;69;71;23;26;5;4
Wien Süd-West;Liesing;92301;43;242;143;3;33;82;14;0;8;0;3
Wien Süd-West;Liesing;92301;44;822;229;6;12;82;61;33;18;6;11
Wien Süd-West;Liesing;92301;45;750;319;5;51;94;62;47;41;10;9
Wien Süd-West;Liesing;92301;46;820;391;8;57;132;82;57;41;6;8
Wien Süd-West;Liesing;92301;47;706;316;3;37;106;81;38;40;7;4
Wien Süd-West;Liesing;92301;48;740;268;3;37;81;93;17;23;6;8
Wien Süd-West;Liesing;92301;49;783;233;5;31;85;51;28;17;4;12
Wien Süd-West;Liesing;92301;50;362;169;6;38;85;27;4;3;1;5
Wien Süd-West;Liesing;92301;51;1047;649;8;120;179;111;107;95;15;14
Wien Süd-West;Liesing;92301;52;771;347;2;37;121;86;46;38;6;11
Wien Süd-West;Liesing;92301;53;1080;596;7;65;169;106;99;110;17;23
Wien Süd-West;Liesing;92301;54;978;354;6;57;125;95;22;30;10;9
Wien Süd-West;Liesing;92301;55;1079;449;7;94;141;97;44;51;3;12
Wien Süd-West;Liesing;92301;56;933;498;5;69;172;87;65;71;13;16
Wien Süd-West;Liesing;92301;57;853;394;5;52;117;121;35;51;5;8
Wien Süd-West;Liesing;92301;58;975;494;6;54;178;106;65;67;5;13
Wien Süd-West;Liesing;92301;59;613;267;2;42;95;53;26;23;8;18
Wien Süd-West;Liesing;92301;60;697;326;5;52;102;96;21;33;5;12
Wien Süd-West;Liesing;92301;61;772;480;4;125;124;70;51;82;4;20
Wien Süd-West;Liesing;92301;62;722;389;7;54;108;109;45;41;5;20
Wien Süd-West;Liesing;92301;63;760;284;5;50;58;94;35;14;7;21
Wien Süd-West;Liesing;92301;64;682;338;2;49;86;97;39;47;7;11
Wien Süd-West;Liesing;92301;65;818;418;4;88;103;90;41;60;13;19
Wien Süd-West;Liesing;92301;66;691;345;3;49;116;99;29;34;6;9
Wien Süd-West;Liesing;92301;67;727;453;6;56;215;106;17;29;14;10
Wien Süd-West;Liesing;92301;68;689;394;10;82;110;76;50;53;8;5
Wien Süd-West;Liesing;92301;69;474;202;2;41;54;59;21;17;3;5
Wien Süd-West;Liesing;92301;70;848;387;3;53;104;110;45;46;7;19
Wien Süd-West;Liesing;92301;71;604;279;5;34;117;61;26;19;8;9
Wien Süd-West;Liesing;92301;72;1036;569;2;79;190;119;74;75;14;16
Wien Süd-West;Liesing;92301;73;823;283;0;23;94;86;36;26;4;14
Wien Süd-West;Liesing;92301;74;923;253;4;15;84;75;41;17;2;15
Wien Süd-West;Liesing;92301;75;813;255;6;35;85;89;8;16;5;11
Wien Süd-West;Liesing;92301;76;711;441;3;90;126;66;83;54;4;15
Wien Süd-West;Liesing;92301;77;697;482;4;115;115;64;61;95;17;11
Wien Süd-West;Liesing;92301;78;637;341;8;52;107;86;39;40;5;4
Wien Süd-West;Liesing;92301;79;691;498;7;128;117;75;83;79;7;2
Wien Süd-West;Liesing;92301;80;512;194;2;26;68;55;13;18;5;7
Wien Süd-West;Liesing;92301;81;880;492;4;81;154;97;72;60;13;11
Wien Süd-West;Liesing;92301;82;625;296;3;49;92;82;33;22;6;9
Wien Süd-West;Liesing;92301;83;636;201;0;20;101;47;10;9;4;10
Wien Süd-West;Liesing;92301;84;665;200;3;15;86;77;8;5;2;4
Wien Süd-West;Liesing;92301;85;621;239;5;33;87;70;14;17;5;8
Wien Süd-West;Liesing;92301;86;443;155;2;12;48;68;8;11;1;5
Wien Süd-West;Liesing;92301;87;516;265;1;34;90;57;46;23;5;9
Wien Süd-West;Liesing;92301;88;670;274;2;35;83;87;31;19;7;10
Wien Süd-West;Liesing;92301;89;606;206;6;20;66;77;8;13;3;13
Wien Süd-West;Liesing;92301;90;533;213;3;24;68;73;9;18;6;12
Wien Süd-West;Liesing;92301;91;514;254;3;31;65;55;33;45;11;11
Wien Süd-West;Liesing;92301;92;752;394;6;34;129;110;40;47;13;15
Wien Süd-West;Liesing;92301;93;725;343;4;50;113;69;33;52;7;15
Wien Süd-West;Liesing;92301;94;920;396;4;46;118;108;49;49;6;16
Wien Süd-West;Liesing;92301;95;998;443;10;57;146;102;56;50;9;13
Wien Süd-West;Liesing;92301;96;1034;473;4;38;164;130;59;42;9;27
Wien Süd-West;Liesing;92301;97;860;402;3;75;147;78;37;46;2;14
Wien Süd-West;Liesing;92301;98;822;388;4;32;133;108;39;44;8;20
Wien Süd-West;Liesing;92301;99;738;441;7;52;135;71;85;65;13;13
Wien Süd-West;Liesing;92301;100;691;306;8;48;82;80;34;38;5;11
Wien Süd-West;Liesing;92301;101;885;497;6;67;162;78;70;96;6;12
Wien Süd-West;Liesing;92301;102;637;325;2;36;87;79;47;45;13;16
Wien Süd-West;Liesing;92301;103;930;412;9;35;124;73;81;67;7;16
Wien Süd-West;Liesing;92301;104;997;383;6;51;115;128;38;25;5;15
Wien Süd-West;Liesing;92301;105;885;290;7;17;95;101;36;24;3;7
Wien Süd-West;Liesing;92301;106;952;330;3;26;124;79;37;36;8;17
Wien Süd-West;Liesing;92301;107;434;253;4;45;61;41;43;40;6;13
