"bez";"spr";"spr24"
21;"21042";"21042"
15;"15034";"15034"
2;"02054";"02054"
6;"06010";"06010"
2;"02003";"02003"
12;"12012";"12012"
2;"02008";"02008"
10;"10015";"10015"
7;"07018";"07018"
21;"21019";"21019"
20;"20032";"20032"
10;"10007";"10007"
4;"04008";"04008"
10;"10108";"10108"
21;"21037";"21037"
12;"12013";"12013"
3;"03040";"03040"
3;"03037";"03037"
3;"03050";"03050"
19;"19004";"19004"
5;"05039";"05039"
10;"10088";"10088"
16;"16048";"16048"
11;"11001";"11001"
21;"21100";"21100"
23;"23073";"23073"
15;"15031";"15031"
11;"11057";"11057"
17;"17023";"17023"
6;"06028";"06028"
3;"03003";"03003"
22;"22080";"22080"
21;"21006";"21006"
21;"21008";"21008"
2;"02014";"02014"
3;"03006";"03006"
21;"21013";"21013"
5;"05001";"05001"
22;"22039";"22039"
22;"22094";"22094"
12;"12007";"12006"
16;"16013";"16013"
23;"23013";"23013"
7;"07016";"07016"
8;"08003";"08003"
23;"23063";"23063"
16;"16019";"16019"
21;"21001";"21001"
20;"20054";"20054"
16;"16016";"16016"
23;"23030";"23030"
3;"03030";"03030"
17;"17030";"17030"
21;"21065";"21065"
10;"10095";"10095"
21;"21040";"21040"
4;"04020";"04025"
11;"11018";"11018"
21;"21058";"21058"
21;"21117";"21117"
10;"10081";"10081"
23;"23094";"23104"
22;"22071";"22071"
21;"21032";"21032"
15;"15012";"15012"
21;"21095";"21095"
3;"03069";"03069"
14;"14008";"14006"
12;"12036";"12036"
21;"21002";"21002"
22;"22051";"22051"
16;"16057";"16057"
17;"17026";"17026"
1;"01012";"01011"
22;"22049";"22049"
21;"21070";"21070"
14;"14064";"14067"
18;"18010";"18010"
7;"07011";"07011"
23;"23043";"23043"
19;"19011";"19011"
18;"18025";"18025"
23;"23024";"23024"
17;"17011";"17011"
2;"02056";"02056"
20;"20033";"20033"
2;"02039";"02039"
21;"21051";"21051"
6;"06026";"06026"
2;"02002";"02002"
10;"10105";"10105"
20;"20030";"20030"
10;"10126";"10126"
13;"13017";"13018"
12;"12044";"12044"
22;"22031";"22031"
16;"16025";"16025"
11;"11059";"11059"
19;"19007";"19007"
19;"19048";"19048"
23;"23006";"23006"
19;"19037";"19037"
9;"09022";"09022"
2;"02064";"02064"
3;"03061";"03061"
12;"12028";"12028"
22;"22030";"22030"
3;"03014";"03014"
16;"16037";"16037"
22;"22102";"22102"
22;"22136";"22136"
10;"10023";"10023"
18;"18034";"18034"
3;"03063";"03063"
12;"12003";"12003"
13;"13028";"13027"
15;"15049";"15049"
10;"10029";"10029"
13;"13032";"13034"
11;"11050";"11050"
22;"22096";"22096"
18;"18020";"18020"
10;"10141";"10142"
10;"10111";"10111"
20;"20014";"20014"
16;"16066";"16066"
20;"20028";"20028"
8;"08004";"08004"
5;"05016";"05016"
23;"23026";"23026"
21;"21044";"21044"
20;"20022";"20022"
2;"02065";"02065"
15;"15009";"15009"
20;"20043";"20043"
23;"23007";"23007"
22;"22087";"22087"
14;"14037";"14047"
21;"21034";"21034"
19;"19044";"19044"
2;"02063";"02063"
5;"05031";"05031"
2;"02016";"02016"
6;"06024";"06024"
5;"05040";"05040"
14;"14006";"14004"
3;"03043";"03043"
17;"17004";"17004"
22;"22009";"22009"
23;"23092";"23092"
22;"22123";"22123"
7;"07026";"07026"
21;"21010";"21010"
18;"18033";"18033"
10;"10046";"10046"
21;"21004";"21004"
20;"20029";"20029"
2;"02020";"02020"
22;"22130";"22130"
13;"13023";"13010"
16;"16061";"16061"
21;"21077";"21077"
19;"19019";"19019"
18;"18005";"18005"
22;"22083";"22083"
15;"15018";"15018"
5;"05014";"05014"
16;"16023";"16023"
19;"19038";"19038"
12;"12045";"12045"
7;"07022";"07022"
19;"19041";"19041"
22;"22056";"22056"
22;"22152";"22155"
20;"20034";"20034"
22;"22017";"22017"
14;"14068";"14073"
10;"10133";"10133"
8;"08021";"08021"
20;"20013";"20013"
11;"11065";"11065"
10;"10043";"10043"
22;"22131";"22131"
14;"14069";"14044"
16;"16046";"16046"
18;"18003";"18003"
10;"10054";"10054"
23;"23008";"23008"
10;"10003";"10003"
3;"03045";"03045"
14;"14072";"14069"
15;"15026";"15026"
3;"03027";"03027"
6;"06013";"06013"
20;"20012";"20012"
11;"11032";"11032"
20;"20027";"20027"
14;"14061";"14040"
12;"12062";"12062"
1;"01017";"01004"
22;"22048";"22048"
23;"23079";"23079"
3;"03021";"03021"
21;"21093";"21093"
2;"02017";"02017"
19;"19028";"19028"
10;"10061";"10061"
21;"21071";"21071"
14;"14009";"14007"
22;"22052";"22052"
19;"19043";"19043"
20;"20006";"20059"
3;"03056";"03056"
3;"03019";"03019"
22;"22062";"22062"
3;"03029";"03029"
12;"12011";"12011"
4;"04009";"04009"
21;"21059";"21059"
3;"03031";"03031"
12;"12061";"12061"
20;"20053";"20053"
23;"23093";"23093"
19;"19030";"19030"
23;"23103";"23103"
10;"10115";"10115"
10;"10110";"10110"
21;"21098";"21132"
10;"10119";"10119"
10;"10056";"10031"
15;"15039";"15039"
19;"19015";"19015"
8;"08006";"08006"
7;"07021";"07021"
4;"04022";"04024"
14;"14059";"14064"
21;"21027";"21027"
20;"20016";"20016"
2;"02049";"02049"
16;"16007";"16007"
13;"13022";"13030"
4;"04011";"04011"
9;"09033";"09033"
2;"02030";"02030"
16;"16082";"16055"
22;"22076";"22076"
2;"02041";"02041"
12;"12034";"12034"
21;"21011";"21011"
14;"14012";"14030"
22;"22093";"22093"
10;"10121";"10121"
3;"03015";"03015"
16;"16017";"16017"
23;"23066";"23066"
16;"16049";"16049"
23;"23072";"23072"
12;"12039";"12039"
11;"11007";"11007"
22;"22101";"22101"
11;"11044";"11044"
15;"15016";"15016"
15;"15048";"15048"
2;"02038";"02038"
13;"13033";"13035"
21;"21119";"21119"
21;"21086";"21086"
15;"15045";"15045"
11;"11021";"11021"
9;"09018";"09018"
16;"16069";"16069"
21;"21078";"21078"
13;"13015";"13016"
23;"23078";"23078"
21;"21120";"21120"
21;"21029";"21029"
3;"03051";"03051"
9;"09021";"09021"
23;"23051";"23051"
14;"14071";"14045"
23;"23020";"23020"
23;"23069";"23069"
23;"23088";"23088"
15;"15043";"15043"
2;"02071";"02071"
17;"17008";"17008"
9;"09008";"09008"
3;"03004";"03004"
5;"05011";"05011"
21;"21067";"21067"
20;"20025";"20025"
22;"22114";"22114"
10;"10018";"10018"
19;"19058";"19058"
22;"22134";"22134"
17;"17001";"17001"
22;"22018";"22018"
10;"10103";"10144"
23;"23102";"23102"
19;"19018";"19064"
14;"14045";"14058"
10;"10104";"10104"
6;"06015";"06015"
18;"18002";"18002"
11;"11017";"11017"
17;"17025";"17025"
14;"14027";"14031"
9;"09027";"09027"
21;"21018";"21018"
21;"21017";"21017"
22;"22006";"22006"
21;"21009";"21009"
14;"14052";"14012"
16;"16042";"16042"
18;"18006";"18006"
1;"01016";"01005"
6;"06005";"06005"
21;"21061";"21061"
21;"21073";"21073"
14;"14015";"14022"
11;"11002";"11002"
1;"01001";"01001"
10;"10013";"10013"
4;"04007";"04007"
22;"22129";"22129"
11;"11062";"11062"
21;"21091";"21091"
21;"21033";"21033"
19;"19054";"19054"
22;"22137";"22137"
21;"21005";"21005"
19;"19031";"19031"
5;"05005";"05005"
2;"02072";"02072"
16;"16022";"16022"
21;"21043";"21043"
16;"16074";"16074"
20;"20035";"20035"
14;"14062";"14041"
14;"14039";"14052"
22;"22154";"22154"
20;"20002";"20002"
20;"20038";"20038"
10;"10097";"10097"
18;"18028";"18028"
20;"20050";"20050"
22;"22090";"22090"
22;"22104";"22104"
9;"09001";"09001"
5;"05017";"05017"
3;"03036";"03035"
17;"17007";"17007"
13;"13029";"13028"
12;"12035";"12035"
2;"02034";"02034"
2;"02029";"02029"
22;"22078";"22065"
22;"22012";"22012"
11;"11035";"11035"
2;"02028";"02028"
19;"19039";"19039"
14;"14070";"14074"
21;"21046";"21046"
22;"22023";"22023"
22;"22045";"22045"
23;"23048";"23048"
7;"07003";"07003"
22;"22139";"22139"
2;"02074";"02074"
14;"14029";"14033"
21;"21089";"21089"
23;"23028";"23028"
19;"19046";"19046"
14;"14063";"14066"
21;"21047";"21047"
13;"13037";"13038"
3;"03035";"03035"
16;"16063";"16063"
12;"12021";"12021"
3;"03007";"03007"
23;"23056";"23056"
11;"11037";"11037"
18;"18008";"18008"
18;"18022";"18022"
22;"22144";"22144"
22;"22019";"22019"
12;"12010";"12010"
18;"18031";"18040"
21;"21108";"21108"
23;"23003";"23003"
14;"14035";"14051"
14;"14051";"14011"
18;"18019";"18019"
10;"10052";"10052"
22;"22147";"22147"
2;"02059";"02059"
21;"21124";"21124"
3;"03039";"03039"
19;"19022";"19022"
12;"12001";"12001"
20;"20005";"20005"
21;"21053";"21053"
11;"11029";"11029"
14;"14031";"14050"
18;"18014";"18014"
13;"13034";"13039"
12;"12055";"12055"
3;"03026";"03026"
14;"14025";"14024"
5;"05030";"05030"
22;"22089";"22089"
4;"04018";"04018"
4;"04006";"04006"
18;"18029";"18029"
19;"19035";"19035"
3;"03067";"03067"
12;"12017";"12016"
19;"19051";"19051"
3;"03048";"03048"
3;"03047";"03047"
7;"07006";"07006"
2;"02019";"02019"
23;"23009";"23009"
2;"02052";"02052"
8;"08022";"08022"
22;"22120";"22120"
14;"14041";"14054"
19;"19010";"19010"
10;"10071";"10071"
13;"13009";"13006"
17;"17027";"17027"
23;"23087";"23087"
2;"02046";"02046"
23;"23075";"23075"
22;"22026";"22026"
22;"22141";"22141"
2;"02067";"02067"
11;"11022";"11022"
15;"15046";"15046"
10;"10049";"10049"
14;"14043";"14056"
22;"22085";"22085"
23;"23034";"23034"
6;"06022";"06022"
9;"09011";"09011"
2;"02018";"02018"
21;"21003";"21003"
13;"13016";"13017"
3;"03041";"03041"
10;"10027";"10027"
11;"11016";"11016"
22;"22122";"22122"
10;"10106";"10115"
10;"10045";"10045"
13;"13002";"13031"
2;"02010";"02010"
3;"03044";"03044"
20;"20044";"20044"
22;"22148";"22148"
3;"03071";"03071"
15;"15014";"15014"
3;"03013";"03013"
10;"10077";"10077"
22;"22146";"22146"
22;"22055";"22055"
21;"21026";"21026"
23;"23023";"23023"
21;"21050";"21050"
7;"07025";"07025"
23;"23097";"23097"
19;"19049";"19049"
3;"03025";"03025"
10;"10078";"10078"
1;"01013";"01012"
10;"10069";"10069"
16;"16078";"16024"
8;"08009";"08009"
21;"21054";"21054"
17;"17015";"17015"
1;"01006";"01009"
22;"22117";"22117"
10;"10044";"10044"
14;"14050";"14010"
22;"22054";"22054"
16;"16050";"16050"
12;"12018";"12018"
5;"05018";"05018"
22;"22149";"22149"
21;"21021";"21021"
3;"03034";"03034"
16;"16041";"16041"
16;"16009";"16009"
14;"14053";"14013"
7;"07030";"07017"
4;"04002";"04002"
22;"22046";"22046"
16;"16067";"16067"
4;"04003";"04003"
9;"09016";"09016"
20;"20004";"20004"
21;"21035";"21035"
15;"15036";"15036"
11;"11068";"11068"
21;"21116";"21116"
10;"10038";"10038"
21;"21030";"21030"
16;"16081";"16051"
12;"12065";"12065"
10;"10060";"10060"
22;"22042";"22042"
13;"13018";"13019"
10;"10041";"10041"
8;"08001";"08001"
3;"03042";"03042"
21;"21110";"21110"
15;"15024";"15024"
19;"19027";"19027"
9;"09012";"09012"
12;"12005";"12005"
21;"21096";"21096"
19;"19012";"19012"
14;"14026";"14025"
14;"14040";"14053"
4;"04015";"04015"
12;"12025";"12025"
14;"14011";"14049"
2;"02060";"02060"
18;"18018";"18018"
5;"05023";"05023"
16;"16044";"16044"
12;"12004";"12004"
4;"04005";"04005"
21;"21056";"21056"
15;"15028";"15028"
5;"05002";"05002"
3;"03022";"03072"
21;"21122";"21122"
18;"18001";"18001"
11;"11072";"11072"
23;"23053";"23054"
21;"21109";"21109"
2;"02043";"02043"
19;"19034";"19034"
2;"02025";"02025"
16;"16072";"16072"
11;"11052";"11052"
10;"10124";"10124"
16;"16045";"16044"
23;"23082";"23082"
11;"11005";"11005"
14;"14038";"14048"
14;"14003";"14003"
9;"09030";"09030"
16;"16021";"16021"
6;"06002";"06002"
20;"20045";"20045"
16;"16010";"16010"
5;"05028";"05028"
1;"01003";"01003"
2;"02066";"02066"
