"bez";"spr";"spr24"
2;"02016";"02016"
10;"10133";"10133"
11;"11048";"11048"
23;"23031";"23031"
15;"15022";"15022"
2;"02031";"02031"
3;"03041";"03041"
22;"22068";"22068"
22;"22108";"22108"
10;"10076";"10076"
22;"22084";"22084"
23;"23085";"23085"
22;"22034";"22034"
2;"02069";"02069"
3;"03067";"03067"
15;"15040";"15050"
15;"15019";"15019"
7;"07005";"07005"
22;"22012";"22012"
19;"19007";"19007"
4;"04012";"04012"
2;"02061";"02061"
22;"22111";"22111"
21;"21025";"21025"
2;"02037";"02037"
14;"14037";"14047"
2;"02054";"02054"
10;"10037";"10037"
11;"11026";"11026"
14;"14054";"14014"
22;"22095";"22095"
15;"15038";"15038"
13;"13011";"13008"
4;"04001";"04001"
10;"10005";"10005"
2;"02055";"02055"
16;"16066";"16066"
15;"15009";"15009"
2;"02070";"02070"
16;"16007";"16007"
23;"23014";"23014"
22;"22040";"22040"
16;"16031";"16031"
17;"17034";"17034"
2;"02046";"02046"
11;"11064";"11064"
3;"03045";"03045"
15;"15003";"15003"
16;"16019";"16019"
11;"11010";"11010"
12;"12032";"12032"
2;"02030";"02030"
5;"05015";"05015"
15;"15004";"15004"
18;"18035";"18035"
6;"06009";"06009"
16;"16009";"16009"
9;"09028";"09028"
23;"23037";"23037"
10;"10038";"10038"
23;"23003";"23003"
12;"12007";"12006"
12;"12031";"12031"
8;"08001";"08001"
6;"06011";"06011"
21;"21057";"21057"
7;"07011";"07011"
22;"22042";"22042"
10;"10067";"10067"
5;"05032";"05032"
19;"19032";"19032"
23;"23055";"23055"
16;"16014";"16014"
16;"16025";"16025"
23;"23058";"23058"
14;"14006";"14004"
23;"23074";"23075"
11;"11071";"11071"
22;"22086";"22086"
9;"09030";"09030"
22;"22097";"22097"
20;"20008";"20008"
16;"16075";"16075"
22;"22098";"22098"
12;"12048";"12048"
10;"10018";"10018"
23;"23087";"23087"
15;"15018";"15018"
10;"10056";"10031"
23;"23032";"23032"
21;"21018";"21018"
12;"12041";"12041"
2;"02062";"02062"
19;"19062";"19062"
16;"16053";"16053"
8;"08015";"08015"
12;"12039";"12039"
14;"14062";"14041"
14;"14052";"14012"
16;"16038";"16038"
13;"13027";"13026"
16;"16057";"16057"
7;"07004";"07005"
20;"20004";"20004"
23;"23084";"23084"
2;"02023";"02023"
10;"10141";"10142"
21;"21070";"21070"
20;"20023";"20023"
11;"11030";"11030"
14;"14065";"14068"
10;"10034";"10034"
14;"14029";"14033"
16;"16071";"16071"
23;"23047";"23047"
2;"02060";"02060"
21;"21085";"21085"
23;"23033";"23033"
22;"22028";"22028"
21;"21038";"21038"
22;"22014";"22014"
22;"22039";"22039"
22;"22146";"22146"
9;"09005";"09005"
