"id";"name";"nw_eu24";"nw_eu19";"nw_nrw19";"nw_nrw17";"mean_nw"
1107;"Simmeringer Haide";0,583224115334207;0,550834597875569;0,452023415627386;0,36284289276808;0,487231255401311
1201;"Altmannsdorf";0,588533916849015;0,556993947545393;0,480352303523035;0,40409573571549;0,507493975908233
1202;"Hetzendorf";0,478859947149868;0,50127425994903;0,464091672429122;0,359389406823071;0,450903821587773
1203;"Meidling (Zentrum)";0,553592953175707;0,572779496243924;0,533867022459417;0,458854280113265;0,529773437998078
1204;"Tivoliviertel";0,492806239074896;0,551581325301205;0,522037342817223;0,430489335006274;0,499228560549899
1205;"Untermeidling";0,716751667320518;0,641326883206634;0,55010511562719;0,467405913978495;0,593897395033209
1301;"Lainzer Tiergarten";0,383099658961728;0,452947638227755;0,4485809067453;0,348017621145374;0,40816145627004
1302;"Hietzing (Zentrum)";0,396035969902734;0,473058637083994;0,466666666666667;0,385798816568047;0,430390022555361
1303;"Lainz";0,409721140364543;0,486366421568627;0,462001853568119;0,354070660522273;0,428040019005891
1304;"Ober St. Veit";0,370469032442203;0,433385797611332;0,430460470786833;0,345726296123307;0,395010399240919
1305;"Schönbrunn";0,394329896907216;0,630798969072165;0,718294051627385;0,656970362239298;0,600098319961516
1306;"Speising";0,410369774919614;0,467022696929239;0,440456989247312;0,3472316231217;0,416270271054466
1307;"Unter St. Veit";0,403630937577717;0,458538993089832;0,449286250939143;0,37049576783555;0,420487987360561
1401;"Baumgarten";0,502464157706093;0,54627589246364;0,484801247077163;0,410127931769723;0,485917307254155
1402;"Breitensee";0,470800052376588;0,510172037138176;0,466680364358606;0,377292708807034;0,456236290670101
1403;"Hadersdorf-Weidlingau";0,366650294695481;0,42133265771472;0,394515306122449;0,311024715356845;0,373380743472374
1404;"Hütteldorf";0,378729547641963;0,445107206190553;0,422330888345558;0,346277899625855;0,398111385450982
1405;"Penzing (Zentrum)";0,500437364762212;0,556127749920947;0,523205237433299;0,436230273394088;0,504000156377636
1501;"Fünfhaus";0,486168521462639;0,554041641151255;0,538426138978371;0,469888475836431;0,512131194357174
1502;"Märzstraße";0,502165488944609;0,529972463461131;0,504541522491349;0,432749786507259;0,492357315351087
