"bez";"spr";"spr24"
15;"15027";"15027"
8;"08005";"08005"
16;"16056";"16056"
11;"11041";"11041"
12;"12010";"12010"
4;"04011";"04011"
2;"02091";"02065"
4;"04005";"04005"
11;"11010";"11010"
17;"17014";"17014"
10;"10002";"10002"
4;"04014";"04014"
3;"03043";"03043"
18;"18004";"18004"
23;"23093";"23093"
22;"22051";"22051"
5;"05005";"05005"
9;"09010";"09010"
2;"02037";"02029"
18;"18006";"18006"
2;"02061";"02045"
20;"20036";"20036"
16;"16074";"16074"
12;"12057";"12057"
19;"19001";"19001"
5;"05040";"05040"
5;"05007";"05007"
2;"02043";"02028"
2;"02057";"02039"
5;"05020";"05021"
22;"22038";"22029"
22;"22059";"22059"
2;"02015";"02011"
20;"20027";"20027"
2;"02078";"02057"
23;"23009";"23009"
2;"02007";"02005"
6;"06028";"06028"
11;"11016";"11016"
15;"15004";"15004"
6;"06004";"06004"
3;"03050";"03050"
10;"10024";"10024"
21;"21102";"21102"
8;"08020";"08020"
3;"03046";"03046"
22;"22005";"22005"
10;"10044";"10044"
15;"15033";"15033"
2;"02087";"02063"
6;"06003";"06003"
7;"07012";"07012"
16;"16054";"16054"
21;"21031";"21031"
15;"15046";"15046"
5;"05039";"05039"
4;"04021";"04024"
2;"02028";"02015"
16;"16069";"16069"
10;"10051";"10051"
10;"10071";"10071"
22;"22137";"22137"
20;"20039";"20039"
16;"16025";"16025"
7;"07024";"07024"
5;"05006";"05006"
10;"10056";"10031"
16;"16027";"16027"
2;"02010";"02008"
2;"02016";"02012"
15;"15043";"15043"
22;"22060";"22060"
2;"02023";"02018"
10;"10053";"10053"
4;"04023";"04023"
2;"02097";"02068"
9;"09021";"09021"
10;"10091";"10092"
12;"12003";"12003"
10;"10063";"10063"
16;"16015";"16015"
10;"10050";"10050"
23;"23092";"23092"
9;"09020";"09020"
7;"07006";"07006"
20;"20007";"20007"
8;"08018";"08018"
10;"10007";"10007"
7;"07007";"07007"
14;"14048";"14010"
6;"06013";"06013"
2;"02046";"02035"
16;"16020";"16020"
16;"16034";"16034"
8;"08007";"08007"
10;"10047";"10047"
16;"16043";"16043"
5;"05027";"05027"
6;"06007";"06007"
2;"02051";"02037"
16;"16060";"16060"
16;"16007";"16007"
6;"06008";"06008"
22;"22082";"22082"
15;"15020";"15020"
12;"12035";"12035"
22;"22008";"22008"
16;"16053";"16053"
5;"05002";"05002"
10;"10115";"10115"
10;"10072";"10072"
17;"17025";"17025"
3;"03033";"03033"
15;"15014";"15014"
23;"23102";"23102"
21;"21001";"21001"
23;"23095";"23095"
2;"02041";"02031"
8;"08004";"08004"
15;"15005";"15005"
10;"10034";"10034"
23;"23011";"23011"
20;"20021";"20021"
16;"16002";"16002"
4;"04016";"04016"
10;"10080";"10080"
3;"03009";"03009"
16;"16018";"16018"
16;"16057";"16057"
8;"08009";"08009"
15;"15019";"15019"
9;"09018";"09018"
11;"11064";"11064"
6;"06023";"06023"
10;"10078";"10078"
10;"10084";"10084"
9;"09011";"09011"
10;"10127";"10127"
8;"08003";"08003"
11;"11022";"11022"
2;"02040";"02031"
3;"03022";"03072"
18;"18001";"18001"
21;"21028";"21028"
18;"18034";"18034"
23;"23012";"23012"
3;"03044";"03044"
21;"21104";"21104"
21;"21106";"21106"
4;"04018";"04018"
9;"09030";"09030"
22;"22012";"22012"
22;"22070";"22070"
12;"12008";"12007"
20;"20020";"20020"
18;"18029";"18029"
19;"19013";"19013"
7;"07004";"07005"
23;"23053";"23054"
12;"12024";"12024"
5;"05009";"05009"
14;"14025";"14025"
22;"22036";"22036"
14;"14047";"14009"
18;"18008";"18008"
9;"09024";"09024"
2;"02074";"02055"
3;"03013";"03013"
21;"21062";"21062"
22;"22141";"22141"
11;"11017";"11017"
22;"22134";"22134"
16;"16082";"16055"
2;"02033";"02032"
5;"05004";"05004"
10;"10130";"10143"
9;"09016";"09016"
12;"12029";"12029"
22;"22058";"22055"
15;"15039";"15039"
9;"09032";"09032"
11;"11062";"11062"
11;"11009";"11009"
11;"11057";"11057"
6;"06016";"06016"
16;"16051";"16066"
12;"12052";"12052"
2;"02093";"02067"
15;"15030";"15030"
20;"20048";"20048"
21;"21037";"21037"
10;"10001";"10001"
21;"21105";"21105"
10;"10013";"10013"
15;"15048";"15048"
1;"01010";"01014"
10;"10099";"10099"
22;"22046";"22046"
10;"10110";"10110"
11;"11033";"11033"
22;"22121";"22121"
10;"10120";"10120"
13;"13022";"13030"
17;"17022";"17022"
16;"16062";"16062"
13;"13032";"13034"
19;"19046";"19046"
17;"17028";"17028"
23;"23017";"23017"
12;"12062";"12062"
23;"23023";"23023"
20;"20042";"20042"
22;"22118";"22118"
20;"20014";"20014"
17;"17032";"17032"
19;"19014";"19014"
3;"03059";"03059"
14;"14009";"14007"
19;"19050";"19050"
23;"23014";"23014"
12;"12032";"12032"
21;"21003";"21003"
23;"23016";"23016"
9;"09001";"09001"
22;"22131";"22131"
3;"03057";"03057"
12;"12014";"12014"
19;"19040";"19040"
22;"22080";"22080"
23;"23022";"23022"
20;"20058";"20058"
19;"19061";"19061"
23;"23100";"23100"
21;"21061";"21061"
19;"19044";"19044"
22;"22043";"22157"
16;"16079";"16028"
21;"21113";"21113"
3;"03069";"03069"
23;"23040";"23040"
22;"22107";"22107"
23;"23047";"23047"
12;"12058";"12058"
11;"11071";"11071"
19;"19029";"19029"
17;"17031";"17031"
3;"03010";"03010"
2;"02089";"02064"
13;"13003";"13040"
11;"11012";"11012"
23;"23076";"23076"
15;"15049";"15049"
4;"04022";"04024"
22;"22009";"22009"
21;"21117";"21117"
12;"12049";"12049"
22;"22045";"22045"
11;"11074";"11074"
13;"13026";"13013"
21;"21111";"21111"
23;"23063";"23063"
19;"19020";"19020"
23;"23056";"23056"
2;"02085";"02062"
20;"20028";"20028"
3;"03034";"03034"
21;"21055";"21055"
22;"22127";"22127"
22;"22035";"22020"
17;"17030";"17030"
22;"22065";"22066"
22;"22094";"22094"
16;"16078";"16024"
1;"01011";"01010"
21;"21082";"21082"
10;"10107";"10107"
18;"18033";"18033"
2;"02053";"02039"
22;"22074";"22074"
17;"17029";"17029"
11;"11005";"11005"
23;"23042";"23042"
3;"03071";"03071"
20;"20056";"20056"
3;"03045";"03045"
21;"21079";"21079"
20;"20035";"20035"
21;"21040";"21040"
9;"09029";"09029"
22;"22050";"22050"
3;"03070";"03070"
2;"02104";"02073"
22;"22138";"22138"
10;"10104";"10104"
18;"18025";"18025"
9;"09025";"09025"
23;"23041";"23041"
11;"11006";"11006"
13;"13040";"13032"
10;"10014";"10014"
10;"10135";"10135"
19;"19011";"19011"
13;"13018";"13019"
2;"02029";"02022"
14;"14056";"14062"
1;"01017";"01004"
22;"22052";"22052"
11;"11031";"11031"
23;"23067";"23067"
1;"01013";"01012"
2;"02100";"02075"
20;"20022";"20022"
22;"22090";"22090"
23;"23101";"23101"
14;"14033";"14039"
22;"22106";"22106"
23;"23046";"23104"
12;"12064";"12064"
23;"23039";"23039"
12;"12050";"12050"
23;"23019";"23019"
22;"22032";"22032"
13;"13039";"13023"
19;"19037";"19037"
10;"10111";"10111"
21;"21068";"21068"
22;"22147";"22147"
12;"12031";"12031"
14;"14029";"14034"
16;"16047";"16047"
4;"04003";"04003"
14;"14032";"14038"
22;"22056";"22056"
14;"14011";"14049"
22;"22013";"22013"
13;"13036";"13033"
13;"13019";"13020"
2;"02101";"02074"
21;"21098";"21132"
19;"19021";"19065"
2;"02096";"02070"
19;"19035";"19035"
19;"19039";"19039"
11;"11002";"11002"
10;"10103";"10144"
11;"11023";"11023"
21;"21045";"21045"
13;"13037";"13038"
22;"22006";"22006"
10;"10096";"10096"
13;"13038";"13022"
13;"13033";"13035"
11;"11020";"11020"
14;"14040";"14054"
23;"23033";"23033"
13;"13012";"13009"
2;"02103";"02073"
13;"13030";"13029"
12;"12061";"12061"
22;"22114";"22114"
20;"20029";"20029"
10;"10057";"10057"
22;"22099";"22099"
22;"22122";"22122"
22;"22105";"22105"
11;"11039";"11039"
21;"21118";"21118"
23;"23077";"23077"
19;"19010";"19010"
23;"23027";"23027"
10;"10086";"10086"
23;"23038";"23038"
14;"14042";"14056"
21;"21011";"21011"
19;"19060";"19060"
12;"12059";"12059"
1;"01008";"01007"
20;"20057";"20057"
17;"17002";"17002"
21;"21035";"21035"
10;"10038";"10038"
14;"14005";"14030"
22;"22089";"22089"
12;"12054";"12056"
18;"18005";"18005"
16;"16059";"16059"
20;"20008";"20008"
15;"15016";"15016"
21;"21013";"21013"
4;"04019";"04019"
5;"05038";"05038"
2;"02066";"02049"
21;"21049";"21049"
21;"21099";"21099"
22;"22066";"22066"
22;"22101";"22101"
13;"13009";"13006"
14;"14046";"14077"
21;"21119";"21119"
2;"02084";"02061"
19;"19045";"19045"
1;"01007";"01009"
10;"10123";"10123"
23;"23058";"23058"
14;"14064";"14072"
12;"12043";"12043"
21;"21083";"21083"
22;"22022";"22022"
23;"23087";"23087"
18;"18035";"18035"
22;"22125";"22125"
23;"23071";"23071"
21;"21009";"21009"
3;"03017";"03017"
12;"12065";"12065"
22;"22151";"22151"
12;"12056";"12056"
10;"10027";"10027"
20;"20024";"20024"
10;"10095";"10095"
15;"15031";"15031"
22;"22086";"22086"
12;"12033";"12033"
14;"14051";"14013"
15;"15009";"15009"
11;"11068";"11068"
14;"14008";"14006"
21;"21114";"21114"
22;"22126";"22126"
23;"23013";"23013"
10;"10102";"10102"
13;"13007";"13003"
21;"21056";"21056"
13;"13031";"13037"
13;"13004";"13012"
22;"22040";"22040"
21;"21051";"21051"
21;"21094";"21094"
13;"13041";"13031"
21;"21086";"21086"
19;"19030";"19030"
22;"22071";"22071"
18;"18026";"18026"
20;"20034";"20034"
19;"19016";"19016"
19;"19059";"19059"
21;"21017";"21017"
11;"11036";"11036"
21;"21066";"21066"
16;"16049";"16049"
18;"18028";"18028"
10;"10055";"10055"
20;"20019";"20019"
20;"20050";"20050"
18;"18023";"18023"
2;"02050";"02037"
22;"22030";"22030"
16;"16065";"16065"
14;"14057";"14063"
13;"13024";"13024"
7;"07001";"07001"
13;"13028";"13027"
22;"22047";"22047"
22;"22149";"22149"
19;"19047";"19047"
17;"17035";"17035"
23;"23024";"23024"
22;"22109";"22109"
18;"18031";"18040"
11;"11052";"11052"
11;"11045";"11045"
18;"18018";"18018"
2;"02001";"02001"
23;"23074";"23075"
12;"12045";"12045"
12;"12053";"12053"
10;"10074";"10074"
10;"10093";"10093"
23;"23051";"23051"
16;"16076";"16076"
11;"11048";"11048"
22;"22037";"22037"
22;"22084";"22084"
22;"22014";"22014"
23;"23035";"23035"
23;"23055";"23055"
19;"19042";"19042"
23;"23079";"23079"
22;"22078";"22065"
19;"19043";"19043"
21;"21092";"21092"
23;"23044";"23046"
10;"10100";"10100"
19;"19009";"19063"
23;"23061";"23061"
2;"02076";"02058"
22;"22097";"22097"
10;"10098";"10098"
22;"22111";"22111"
16;"16063";"16063"
16;"16067";"16067"
21;"21120";"21120"
19;"19002";"19002"
21;"21077";"21077"
21;"21043";"21043"
11;"11034";"11034"
10;"10139";"10141"
22;"22110";"22110"
22;"22093";"22093"
13;"13017";"13018"
23;"23003";"23003"
14;"14006";"14004"
13;"13016";"13017"
13;"13023";"13010"
12;"12042";"12042"
1;"01005";"01007"
19;"19031";"19031"
10;"10009";"10014"
16;"16077";"16073"
13;"13015";"13016"
18;"18036";"18036"
23;"23018";"23018"
10;"10136";"10136"
22;"22140";"22140"
18;"18020";"18020"
17;"17024";"17024"
22;"22055";"22055"
11;"11042";"11042"
12;"12036";"12036"
3;"03038";"03038"
22;"22088";"22088"
10;"10124";"10124"
18;"18016";"18016"
10;"10004";"10025"
20;"20009";"20009"
22;"22108";"22108"
14;"14055";"14064"
21;"21020";"21020"
13;"13021";"13005"
23;"23073";"23073"
22;"22085";"22085"
23;"23050";"23098"
23;"23059";"23059"
23;"23097";"23097"
3;"03001";"03001"
21;"21010";"21010"
16;"16072";"16072"
21;"21078";"21078"
21;"21064";"21064"
22;"22049";"22049"
21;"21067";"21067"
10;"10126";"10126"
19;"19008";"19008"
22;"22017";"22017"
23;"23045";"23045"
9;"09026";"09026"
9;"09006";"09006"
22;"22069";"22069"
21;"21071";"21071"
13;"13006";"13041"
22;"22025";"22025"
12;"12051";"12051"
18;"18027";"18027"
11;"11035";"11035"
11;"11024";"11024"
19;"19012";"19012"
12;"12001";"12001"
14;"14013";"14020"
22;"22150";"22150"
19;"19041";"19041"
10;"10059";"10059"
15;"15010";"15010"
14;"14052";"14014"
20;"20033";"20033"
11;"11075";"11075"
14;"14003";"14003"
21;"21076";"21076"
12;"12020";"12008"
22;"22018";"22018"
3;"03051";"03051"
14;"14061";"14067"
2;"02052";"02038"
10;"10140";"10142"
23;"23069";"23069"
19;"19017";"19064"
22;"22072";"22072"
1;"01001";"01001"
1;"01014";"01013"
15;"15002";"15002"
5;"05017";"05017"
